Symbol,Price~,"Exp Date",DTE,Strike,Type,Moneyness,Bid,"BE (Bid)","%BE (Bid)",Volume,"Open Int","IV Rank",Delta,Return,"Ann Rtn","Ptnl Rtn","Profit Prob"
AAPL,227.76,2025-09-19,27,227.50,Call,+0.11%,6.3,221.46,-2.77%,1066,955,15.50%,-0.537251,2.7%,36.9%,2.7%,66.6%
AAPL,227.76,2025-09-19,27,230.00,Call,-0.98%,4.95,222.81,-2.17%,4897,39335,15.50%,-0.469241,2.2%,30.0%,3.2%,63.5%
AAPL,227.76,2025-09-19,27,232.50,Call,-2.08%,3.85,223.91,-1.69%,440,1796,15.50%,-0.398874,1.7%,23.2%,3.8%,60.9%
AAPL,227.76,2025-09-19,27,235.00,Call,-3.18%,2.91,224.85,-1.28%,5595,30150,15.50%,-0.332302,1.3%,17.5%,4.5%,58.3%
AAPL,227.76,2025-09-19,27,237.50,Call,-4.28%,2.15,225.61,-0.94%,1009,1064,15.50%,-0.267797,1.0%,12.9%,5.3%,56.3%
AAPL,227.76,2025-09-19,27,240.00,Call,-5.37%,1.56,226.2,-0.68%,3428,41524,15.50%,-0.211988,0.7%,9.3%,6.1%,54.6%
AAPL,227.76,2025-09-19,27,242.50,Call,-6.47%,1.12,226.64,-0.49%,1061,679,15.50%,-0.16291,0.5%,6.7%,7.0%,53.3%
AAPL,227.76,2025-09-26,34,230.00,Call,-0.98%,5.7,222.06,-2.50%,1047,1674,15.50%,-0.479459,2.6%,27.6%,3.6%,64.1%
AAPL,227.76,2025-09-26,34,235.00,Call,-3.18%,3.5,224.26,-1.54%,664,1355,15.50%,-0.3557,1.6%,16.8%,4.8%,59.0%
AAPL,227.76,2025-09-26,34,240.00,Call,-5.37%,2.02,225.74,-0.89%,1184,1870,15.50%,-0.238355,0.9%,9.6%,6.3%,55.4%
AAPL,227.76,2025-09-26,34,245.00,Call,-7.57%,1.13,226.63,-0.50%,1813,3345,15.50%,-0.152617,0.5%,5.4%,8.1%,53.0%
AAPL,227.76,2025-09-12,20,230.00,Call,-0.98%,4.15,223.61,-1.82%,2973,5887,15.50%,-0.455519,1.9%,33.9%,2.9%,63.1%
AAPL,227.76,2025-09-12,20,235.00,Call,-3.18%,2.2,225.56,-0.97%,21036,8531,15.50%,-0.303061,1.0%,17.8%,4.2%,57.2%
AAPL,227.76,2025-09-12,20,240.00,Call,-5.37%,1.11,226.65,-0.49%,25237,10189,15.50%,-0.178596,0.5%,8.9%,5.9%,53.7%
AMD,167.76,2025-09-12,20,167.50,Call,+0.15%,6.95,160.81,-4.14%,433,560,14.98%,-0.535548,4.2%,75.9%,4.2%,66.4%
AMD,167.76,2025-09-12,20,170.00,Call,-1.34%,5.75,162.01,-3.43%,1491,2469,14.98%,-0.476526,3.5%,64.8%,4.9%,63.6%
AMD,167.76,2025-09-12,20,172.50,Call,-2.83%,4.7,163.06,-2.80%,371,616,14.98%,-0.417909,2.9%,52.6%,5.8%,61.3%
AMD,167.76,2025-09-12,20,175.00,Call,-4.32%,3.8,163.96,-2.27%,519,1324,14.98%,-0.362299,2.3%,42.3%,6.7%,59.1%
AMD,167.76,2025-09-12,20,177.50,Call,-5.81%,3.1,164.66,-1.85%,377,561,14.98%,-0.309292,1.9%,34.4%,7.8%,57.5%
AMD,167.76,2025-09-12,20,180.00,Call,-7.30%,2.5,165.26,-1.49%,2591,3500,14.98%,-0.263237,1.5%,27.6%,8.9%,56.0%
AMD,167.76,2025-09-26,34,167.50,Call,+0.15%,9.05,158.71,-5.39%,177,1033,14.98%,-0.543332,5.5%,59.5%,5.5%,66.6%
AMD,167.76,2025-09-26,34,170.00,Call,-1.34%,7.8,159.96,-4.65%,646,754,14.98%,-0.497293,4.9%,52.3%,6.3%,64.5%
AMD,167.76,2025-09-26,34,172.50,Call,-2.83%,6.75,161.01,-4.02%,74,682,14.98%,-0.451898,4.2%,45.0%,7.1%,62.6%
AMD,167.76,2025-09-26,34,175.00,Call,-4.32%,5.75,162.01,-3.43%,759,558,14.98%,-0.406232,3.5%,38.1%,8.0%,60.8%
AMD,167.76,2025-09-26,34,177.50,Call,-5.81%,4.9,162.86,-2.92%,58,332,14.98%,-0.363911,3.0%,32.3%,9.0%,59.2%
AMD,167.76,2025-09-26,34,180.00,Call,-7.30%,4.15,163.61,-2.47%,654,760,14.98%,-0.323759,2.5%,27.2%,10.0%,57.8%
AMD,167.76,2025-09-19,27,167.50,Call,+0.15%,8.1,159.66,-4.83%,997,765,14.98%,-0.539448,4.9%,66.4%,4.9%,66.5%
AMD,167.76,2025-09-19,27,170.00,Call,-1.34%,6.9,160.86,-4.11%,3678,11041,14.98%,-0.488165,4.3%,58.0%,5.7%,64.2%
AMD,167.76,2025-09-19,27,172.50,Call,-2.83%,5.8,161.96,-3.46%,389,1974,14.98%,-0.438027,3.6%,48.4%,6.5%,62.0%
AMD,167.76,2025-09-19,27,175.00,Call,-4.32%,4.9,162.86,-2.92%,4426,15981,14.98%,-0.387844,3.0%,40.7%,7.5%,60.2%
AMD,167.76,2025-09-19,27,177.50,Call,-5.81%,4.05,163.71,-2.41%,257,787,14.98%,-0.342379,2.5%,33.4%,8.4%,58.4%
AMD,167.76,2025-09-19,27,180.00,Call,-7.30%,3.35,164.41,-2.00%,5279,17670,14.98%,-0.297464,2.0%,27.5%,9.5%,57.0%
AMZN,228.84,2025-09-12,20,230.00,Call,-0.51%,4.7,224.14,-2.05%,1128,3684,2.75%,-0.491949,2.1%,38.3%,2.6%,64.5%
AMZN,228.84,2025-09-12,20,235.00,Call,-2.69%,2.67,226.17,-1.17%,4914,4887,2.75%,-0.338383,1.2%,21.5%,3.9%,58.5%
AMZN,228.84,2025-09-12,20,240.00,Call,-4.88%,1.39,227.45,-0.61%,1766,2438,2.75%,-0.210756,0.6%,11.2%,5.5%,54.5%
AMZN,228.84,2025-09-19,27,230.00,Call,-0.51%,5.65,223.19,-2.47%,3877,28809,2.75%,-0.501677,2.5%,34.2%,3.1%,64.9%
AMZN,228.84,2025-09-19,27,232.50,Call,-1.60%,4.5,224.34,-1.97%,616,2214,2.75%,-0.43512,2.0%,27.1%,3.6%,62.1%
AMZN,228.84,2025-09-19,27,235.00,Call,-2.69%,3.5,225.34,-1.53%,5647,27534,2.75%,-0.368301,1.6%,21.0%,4.3%,59.6%
AMZN,228.84,2025-09-19,27,237.50,Call,-3.78%,2.62,226.22,-1.14%,518,1470,2.75%,-0.306823,1.2%,15.7%,5.0%,57.2%
AMZN,228.84,2025-09-19,27,240.00,Call,-4.88%,2.04,226.8,-0.89%,5125,31676,2.75%,-0.250406,0.9%,12.2%,5.8%,55.6%
AMZN,228.84,2025-09-19,27,242.50,Call,-5.97%,1.47,227.37,-0.64%,868,600,2.75%,-0.200823,0.6%,8.7%,6.7%,54.1%
AMZN,228.84,2025-09-19,27,245.00,Call,-7.06%,1.13,227.71,-0.49%,11204,22010,2.75%,-0.158728,0.5%,6.7%,7.6%,53.1%
AMZN,228.84,2025-09-26,34,230.00,Call,-0.51%,6.5,222.34,-2.84%,515,1208,2.75%,-0.509845,2.9%,31.4%,3.4%,65.2%
AMZN,228.84,2025-09-26,34,235.00,Call,-2.69%,4.25,224.59,-1.86%,553,1378,2.75%,-0.390048,1.9%,20.3%,4.6%,60.4%
AMZN,228.84,2025-09-26,34,240.00,Call,-4.88%,2.67,226.17,-1.17%,625,1548,2.75%,-0.280283,1.2%,12.7%,6.1%,56.6%
AMZN,228.84,2025-09-26,34,245.00,Call,-7.06%,1.59,227.25,-0.69%,587,1403,2.75%,-0.190823,0.7%,7.5%,7.8%,53.9%
AVGO,294,2025-09-12,20,295.00,Call,-0.34%,14.45,279.55,-4.91%,85,384,36.04%,-0.520352,5.2%,94.3%,5.5%,65.5%
AVGO,294,2025-09-12,20,300.00,Call,-2.04%,12.1,281.9,-4.12%,316,707,36.04%,-0.466437,4.3%,78.3%,6.4%,63.2%
AVGO,294,2025-09-12,20,305.00,Call,-3.74%,10,284,-3.40%,54,440,36.04%,-0.412947,3.5%,64.3%,7.4%,61.0%
AVGO,294,2025-09-12,20,310.00,Call,-5.44%,8.25,285.75,-2.81%,183,707,36.04%,-0.360369,2.9%,52.7%,8.5%,59.2%
AVGO,294,2025-09-12,20,315.00,Call,-7.14%,6.7,287.3,-2.28%,65,576,36.04%,-0.312388,2.3%,42.6%,9.6%,57.5%
AVGO,294,2025-09-26,34,300.00,Call,-2.04%,14.45,279.55,-4.91%,79,340,36.04%,-0.482049,5.2%,55.5%,7.3%,63.7%
AVGO,294,2025-09-19,27,300.00,Call,-2.04%,13.35,280.65,-4.54%,943,10364,36.04%,-0.475018,4.8%,64.3%,6.9%,63.4%
AVGO,294,2025-09-19,27,305.00,Call,-3.74%,11.2,282.8,-3.81%,166,1172,36.04%,-0.42464,4.0%,53.5%,7.9%,61.5%
AVGO,294,2025-09-19,27,310.00,Call,-5.44%,9.35,284.65,-3.18%,552,11253,36.04%,-0.376351,3.3%,44.4%,8.9%,59.6%
AVGO,294,2025-09-19,27,317.50,Call,-7.99%,6.95,287.05,-2.36%,62,331,36.04%,-0.307398,2.4%,32.7%,10.6%,57.3%
BRK.B,489,2025-09-12,20,500.00,Call,-2.25%,2.25,486.75,-0.46%,203,345,3.71%,-0.263183,0.5%,8.4%,2.7%,56.0%
BRK.B,489,2025-09-19,27,490.00,Call,-0.20%,7.4,481.6,-1.51%,212,2218,3.71%,-0.519869,1.5%,20.8%,1.7%,65.9%
BRK.B,489,2025-09-19,27,495.00,Call,-1.23%,5.1,483.9,-1.04%,132,1508,3.71%,-0.410727,1.1%,14.2%,2.3%,61.2%
BRK.B,489,2025-09-19,27,500.00,Call,-2.25%,3.4,485.6,-0.70%,456,3919,3.71%,-0.308957,0.7%,9.5%,3.0%,57.5%
BRK.B,489,2025-09-19,27,505.00,Call,-3.27%,2.17,486.83,-0.44%,97,3010,3.71%,-0.218893,0.4%,6.0%,3.7%,54.8%
CAT,435.67,2025-09-19,27,440.00,Call,-0.99%,9.6,426.07,-2.20%,200,1176,6.71%,-0.465641,2.3%,30.5%,3.3%,63.3%
CAT,435.67,2025-09-19,27,450.00,Call,-3.29%,5.55,430.12,-1.27%,165,1439,6.71%,-0.328065,1.3%,17.4%,4.6%,58.0%
CAT,435.67,2025-09-19,27,460.00,Call,-5.58%,2.91,432.76,-0.67%,114,783,6.71%,-0.213625,0.7%,9.1%,6.3%,54.2%
CAT,435.67,2025-09-12,20,440.00,Call,-0.99%,7.5,428.17,-1.72%,31,339,6.71%,-0.451551,1.8%,32.0%,2.8%,62.3%
CRM,248.29,2025-09-19,27,250.00,Call,-0.69%,11.15,237.14,-4.49%,275,3556,63.86%,-0.510537,4.7%,63.6%,5.4%,64.7%
CRM,248.29,2025-09-19,27,260.00,Call,-4.72%,7.5,240.79,-3.02%,1109,4426,63.86%,-0.384535,3.1%,42.1%,8.0%,59.9%
CRM,248.29,2025-09-12,20,250.00,Call,-0.69%,10.85,237.44,-4.37%,309,444,63.86%,-0.506305,4.6%,83.4%,5.3%,65.0%
CRM,248.29,2025-09-12,20,260.00,Call,-4.72%,6.85,241.44,-2.76%,208,406,63.86%,-0.373851,2.8%,51.8%,7.7%,59.5%
CSCO,67.32,2025-09-12,20,68.00,Call,-1.01%,0.87,66.45,-1.29%,685,318,16.62%,-0.424983,1.3%,23.9%,2.3%,61.9%
CSCO,67.32,2025-09-12,20,70.00,Call,-3.98%,0.25,67.07,-0.37%,73,760,16.62%,-0.179194,0.4%,6.8%,4.4%,53.7%
CSCO,67.32,2025-09-26,34,70.00,Call,-3.98%,0.55,66.77,-0.82%,289,514,16.62%,-0.26167,0.8%,8.8%,4.8%,55.8%
CSCO,67.32,2025-09-19,27,67.50,Call,-0.27%,1.36,65.96,-2.02%,278,12397,16.62%,-0.500217,2.1%,27.9%,2.3%,65.0%
CSCO,67.32,2025-09-19,27,69.00,Call,-2.50%,0.69,66.63,-1.02%,162,6448,16.62%,-0.328033,1.0%,14.0%,3.6%,58.2%
CSCO,67.32,2025-09-19,27,70.00,Call,-3.98%,0.4,66.92,-0.59%,3144,42036,16.62%,-0.226623,0.6%,8.1%,4.6%,54.9%
DIS,118.86,2025-09-19,27,120.00,Call,-0.96%,2.27,116.59,-1.91%,2684,11281,8.66%,-0.458509,1.9%,26.3%,2.9%,63.1%
DIS,118.86,2025-09-19,27,121.00,Call,-1.80%,1.85,117.01,-1.56%,53,2060,8.66%,-0.401422,1.6%,21.4%,3.4%,60.8%
DIS,118.86,2025-09-19,27,125.00,Call,-5.17%,0.76,118.1,-0.64%,1022,30599,8.66%,-0.209052,0.6%,8.7%,5.8%,54.4%
DIS,118.86,2025-09-26,34,120.00,Call,-0.96%,2.59,116.27,-2.18%,117,1395,8.66%,-0.469012,2.2%,23.9%,3.2%,63.4%
DIS,118.86,2025-09-26,34,125.00,Call,-5.17%,0.98,117.88,-0.82%,131,1302,8.66%,-0.237486,0.8%,8.9%,6.0%,55.1%
GOOGL,206.09,2025-09-26,34,210.00,Call,-1.90%,5.9,200.19,-2.86%,432,518,25.63%,-0.450255,2.9%,31.6%,5.0%,62.8%
GOOGL,206.09,2025-09-26,34,215.00,Call,-4.32%,4,202.09,-1.94%,602,681,25.63%,-0.347971,2.0%,21.2%,6.5%,58.7%
GOOGL,206.09,2025-09-26,34,220.00,Call,-6.75%,2.68,203.41,-1.30%,1942,1187,25.63%,-0.258747,1.3%,14.1%,8.3%,55.8%
GOOGL,206.09,2025-09-12,20,210.00,Call,-1.90%,4.45,201.64,-2.16%,1973,6488,25.63%,-0.423658,2.2%,40.2%,4.3%,61.8%
GOOGL,206.09,2025-09-12,20,215.00,Call,-4.32%,2.76,203.33,-1.34%,850,1354,25.63%,-0.302297,1.4%,24.7%,5.8%,57.4%
GOOGL,206.09,2025-09-12,20,220.00,Call,-6.75%,1.63,204.46,-0.79%,800,1258,25.63%,-0.204726,0.8%,14.5%,7.7%,54.3%
GOOGL,206.09,2025-09-19,27,207.50,Call,-0.68%,6.35,199.74,-3.08%,1699,2884,25.63%,-0.497389,3.2%,42.9%,4.0%,64.8%
GOOGL,206.09,2025-09-19,27,210.00,Call,-1.90%,5.2,200.89,-2.52%,19009,79842,25.63%,-0.439149,2.6%,35.0%,4.6%,62.2%
GOOGL,206.09,2025-09-19,27,212.50,Call,-3.11%,4.25,201.84,-2.06%,1108,728,25.63%,-0.38253,2.1%,28.4%,5.4%,60.1%
GOOGL,206.09,2025-09-19,27,215.00,Call,-4.32%,3.45,202.64,-1.67%,7134,19950,25.63%,-0.328844,1.7%,23.0%,6.2%,58.2%
GOOGL,206.09,2025-09-19,27,217.50,Call,-5.54%,2.76,203.33,-1.34%,913,3344,25.63%,-0.279416,1.4%,18.3%,7.1%,56.6%
GOOGL,206.09,2025-09-19,27,220.00,Call,-6.75%,2.2,203.89,-1.07%,5639,39190,25.63%,-0.234599,1.1%,14.6%,8.0%,55.2%
GOOGL,206.09,2025-09-19,27,222.50,Call,-7.96%,1.74,204.35,-0.84%,424,348,25.63%,-0.19549,0.9%,11.5%,9.0%,54.1%
GS,741.89,2025-09-19,27,740.00,Call,+0.25%,19.55,722.34,-2.64%,238,522,9.16%,-0.541267,3.0%,40.5%,3.0%,66.9%
GS,741.89,2025-09-19,27,750.00,Call,-1.09%,14.8,727.09,-1.99%,149,1698,9.16%,-0.453589,2.0%,27.4%,3.7%,63.0%
GS,741.89,2025-09-19,27,760.00,Call,-2.44%,10.9,730.99,-1.47%,65,470,9.16%,-0.37055,1.5%,20.0%,4.5%,59.5%
GS,741.89,2025-09-19,27,765.00,Call,-3.12%,9.3,732.59,-1.25%,36,375,9.16%,-0.328109,1.3%,17.1%,5.0%,58.3%
GS,741.89,2025-09-19,27,775.00,Call,-4.46%,6.7,735.19,-0.90%,116,328,9.16%,-0.256992,0.9%,12.3%,6.0%,55.9%
GS,741.89,2025-09-19,27,780.00,Call,-5.14%,5.65,736.24,-0.76%,132,1093,9.16%,-0.226164,0.8%,10.3%,6.5%,54.9%
GS,741.89,2025-09-19,27,790.00,Call,-6.48%,4.05,737.84,-0.55%,45,405,9.16%,-0.169959,0.5%,7.4%,7.6%,53.5%
HD,412.79,2025-09-12,20,420.00,Call,-1.75%,2.84,409.95,-0.69%,96,638,4.65%,-0.333462,0.7%,12.6%,2.5%,57.6%
HD,412.79,2025-09-19,27,415.00,Call,-0.54%,6.4,406.39,-1.55%,803,742,4.65%,-0.474901,1.6%,21.3%,2.1%,63.6%
HD,412.79,2025-09-19,27,420.00,Call,-1.75%,4.5,408.29,-1.09%,343,2451,4.65%,-0.37151,1.1%,14.9%,2.9%,59.6%
HD,412.79,2025-09-19,27,425.00,Call,-2.96%,2.81,409.98,-0.68%,168,576,4.65%,-0.27682,0.7%,9.3%,3.7%,56.0%
HD,412.79,2025-09-19,27,430.00,Call,-4.17%,1.73,411.06,-0.42%,879,1623,4.65%,-0.190517,0.4%,5.7%,4.6%,53.8%
JNJ,179.29,2025-09-12,20,180.00,Call,-0.40%,1.53,177.76,-0.85%,116,611,9.35%,-0.456525,0.9%,15.6%,2.0%,62.9%
JNJ,179.29,2025-09-19,27,180.00,Call,-0.40%,2,177.29,-1.12%,436,5723,9.35%,-0.470787,1.1%,15.1%,2.3%,63.4%
JNJ,179.29,2025-09-19,27,182.50,Call,-1.79%,1.11,178.18,-0.62%,414,1200,9.35%,-0.309429,0.6%,8.4%,3.2%,57.6%
JNJ,179.29,2025-09-19,27,185.00,Call,-3.18%,0.54,178.75,-0.30%,244,3453,9.35%,-0.186092,0.3%,4.1%,4.2%,53.6%
JPM,296.24,2025-09-12,20,310.00,Call,-4.64%,1.05,295.19,-0.35%,220,977,8.25%,-0.164606,0.4%,6.5%,5.0%,53.2%
JPM,296.24,2025-10-03,41,305.00,Call,-2.96%,4.45,291.79,-1.50%,526,5152,8.25%,-0.359798,1.5%,13.6%,4.5%,58.9%
JPM,296.24,2025-09-19,27,297.50,Call,-0.43%,6.3,289.94,-2.13%,123,337,8.25%,-0.49378,2.2%,29.4%,2.6%,64.7%
JPM,296.24,2025-09-19,27,300.00,Call,-1.27%,5.05,291.19,-1.70%,878,7149,8.25%,-0.43353,1.7%,23.4%,3.0%,62.1%
JPM,296.24,2025-09-19,27,305.00,Call,-2.96%,3.05,293.19,-1.03%,361,3494,8.25%,-0.313055,1.0%,14.1%,4.0%,57.7%
JPM,296.24,2025-09-19,27,310.00,Call,-4.64%,1.73,294.51,-0.58%,533,5215,8.25%,-0.20771,0.6%,7.9%,5.3%,54.5%
LLY,711.68,2025-09-12,20,710.00,Call,+0.24%,19.55,692.13,-2.75%,68,421,8.87%,-0.53891,2.6%,47.1%,2.6%,66.6%
LLY,711.68,2025-09-19,27,710.00,Call,+0.24%,23.2,688.48,-3.26%,139,1035,8.87%,-0.540655,3.1%,42.3%,3.1%,66.8%
LLY,711.68,2025-09-19,27,720.00,Call,-1.17%,18.25,693.43,-2.56%,293,1367,8.87%,-0.467134,2.6%,35.6%,3.8%,63.4%
LLY,711.68,2025-09-19,27,725.00,Call,-1.87%,15.55,696.13,-2.18%,358,362,8.87%,-0.428188,2.2%,30.2%,4.1%,61.8%
LLY,711.68,2025-09-19,27,730.00,Call,-2.57%,14.15,697.53,-1.99%,71,1016,8.87%,-0.396408,2.0%,27.4%,4.7%,60.4%
LLY,711.68,2025-09-19,27,740.00,Call,-3.98%,10.85,700.83,-1.52%,65,908,8.87%,-0.327112,1.5%,20.9%,5.6%,58.1%
LLY,711.68,2025-09-19,27,750.00,Call,-5.38%,8.25,703.43,-1.16%,837,3006,8.87%,-0.264544,1.2%,15.9%,6.6%,56.2%
LLY,711.68,2025-09-19,27,760.00,Call,-6.79%,6.2,705.48,-0.87%,98,598,8.87%,-0.216663,0.9%,11.9%,7.7%,54.5%
LLY,711.68,2025-09-26,34,720.00,Call,-1.17%,20.1,691.58,-2.82%,31,1184,8.87%,-0.477309,2.9%,31.2%,4.1%,63.3%
