Symbol,Price~,"Exp Date",DTE,Strike,Type,Moneyness,Bid,"BE (Bid)","%BE (Bid)",Volume,"Open Int","IV Rank",Delta,Return,"Ann Rtn","Ptnl Rtn","Profit Prob"
MA,598.96,2025-09-19,27,600.00,Call,-0.17%,11,587.96,-1.84%,91,1179,7.01%,-0.518459,1.9%,25.3%,2.0%,65.6%
MA,598.96,2025-09-19,27,610.00,Call,-1.84%,6.25,592.71,-1.04%,46,488,7.01%,-0.36951,1.1%,14.3%,2.9%,59.5%
MA,598.96,2025-09-19,27,615.00,Call,-2.68%,4.45,594.51,-0.74%,525,770,7.01%,-0.295001,0.7%,10.1%,3.4%,57.0%
MA,598.96,2025-09-19,27,620.00,Call,-3.51%,3.05,595.91,-0.51%,453,6384,7.01%,-0.224358,0.5%,6.9%,4.0%,55.0%
META,754.79,2025-09-19,27,755.00,Call,-0.03%,22.3,732.49,-2.95%,1127,1588,3.38%,-0.52929,3.0%,41.2%,3.1%,66.0%
META,754.79,2025-09-19,27,760.00,Call,-0.69%,20,734.79,-2.65%,749,2095,3.38%,-0.49274,2.7%,36.8%,3.4%,64.5%
META,754.79,2025-09-19,27,765.00,Call,-1.35%,17.65,737.14,-2.34%,330,1491,3.38%,-0.455991,2.4%,32.4%,3.8%,63.0%
META,754.79,2025-09-19,27,770.00,Call,-2.02%,15.5,739.29,-2.05%,541,4074,3.38%,-0.419549,2.1%,28.3%,4.2%,61.5%
META,754.79,2025-09-19,27,775.00,Call,-2.68%,13.55,741.24,-1.80%,210,1977,3.38%,-0.382068,1.8%,24.7%,4.6%,60.2%
META,754.79,2025-09-19,27,780.00,Call,-3.34%,11.75,743.04,-1.56%,452,4266,3.38%,-0.348749,1.6%,21.4%,5.0%,58.8%
META,754.79,2025-09-19,27,785.00,Call,-4.00%,10.15,744.64,-1.34%,315,1579,3.38%,-0.313226,1.4%,18.4%,5.4%,57.7%
META,754.79,2025-09-19,27,790.00,Call,-4.66%,8.8,745.99,-1.17%,2289,3100,3.38%,-0.280932,1.2%,15.9%,5.9%,56.7%
META,754.79,2025-09-19,27,795.00,Call,-5.33%,7.55,747.24,-1.00%,224,861,3.38%,-0.252691,1.0%,13.7%,6.4%,55.7%
META,754.79,2025-09-19,27,797.50,Call,-5.66%,6.95,747.84,-0.92%,676,660,3.38%,-0.237547,0.9%,12.6%,6.6%,55.3%
META,754.79,2025-09-19,27,800.00,Call,-5.99%,6.5,748.29,-0.86%,4320,9235,3.38%,-0.223832,0.9%,11.7%,6.9%,55.0%
META,754.79,2025-09-19,27,805.00,Call,-6.65%,5.5,749.29,-0.73%,151,2206,3.38%,-0.198011,0.7%,9.9%,7.4%,54.2%
META,754.79,2025-09-19,27,810.00,Call,-7.31%,4.7,750.09,-0.62%,287,1808,3.38%,-0.175642,0.6%,8.5%,8.0%,53.6%
META,754.79,2025-09-19,27,815.00,Call,-7.98%,4,750.79,-0.53%,184,491,3.38%,-0.154804,0.5%,7.2%,8.6%,53.0%
META,754.79,2025-09-12,20,755.00,Call,-0.03%,19,735.79,-2.52%,1646,805,3.38%,-0.524778,2.6%,47.1%,2.6%,66.3%
META,754.79,2025-09-12,20,760.00,Call,-0.69%,16.5,738.29,-2.19%,118,301,3.38%,-0.481753,2.2%,40.8%,2.9%,64.1%
META,754.79,2025-09-12,20,765.00,Call,-1.35%,14.15,740.64,-1.87%,70,329,3.38%,-0.438056,1.9%,34.9%,3.3%,62.3%
META,754.79,2025-09-12,20,770.00,Call,-2.02%,12.1,742.69,-1.60%,188,714,3.38%,-0.395142,1.6%,29.7%,3.7%,60.6%
META,754.79,2025-09-12,20,775.00,Call,-2.68%,10.2,744.59,-1.35%,96,2250,3.38%,-0.351875,1.4%,25.0%,4.1%,59.1%
META,754.79,2025-09-12,20,780.00,Call,-3.34%,8.6,746.19,-1.14%,83,680,3.38%,-0.311157,1.2%,21.0%,4.5%,57.7%
META,754.79,2025-09-12,20,785.00,Call,-4.00%,7.2,747.59,-0.95%,50,437,3.38%,-0.273476,1.0%,17.6%,5.0%,56.5%
META,754.79,2025-09-12,20,790.00,Call,-4.66%,6,748.79,-0.79%,77,327,3.38%,-0.239771,0.8%,14.6%,5.5%,55.4%
META,754.79,2025-09-12,20,800.00,Call,-5.99%,4.1,750.69,-0.54%,485,935,3.38%,-0.179381,0.5%,10.0%,6.6%,53.7%
META,754.79,2025-09-26,34,760.00,Call,-0.69%,23.05,731.74,-3.05%,63,1142,3.38%,-0.501307,3.2%,33.8%,3.9%,64.9%
META,754.79,2025-09-26,34,785.00,Call,-4.00%,12.75,742.04,-1.69%,42,336,3.38%,-0.341897,1.7%,18.4%,5.8%,58.5%
META,754.79,2025-09-26,34,790.00,Call,-4.66%,11.25,743.54,-1.49%,61,618,3.38%,-0.310749,1.5%,16.2%,6.2%,57.6%
META,754.79,2025-09-26,34,800.00,Call,-5.99%,8.55,746.24,-1.13%,287,1211,3.38%,-0.255959,1.1%,12.3%,7.2%,55.8%
MS,148.02,2025-09-19,27,150.00,Call,-1.34%,2.76,145.26,-1.86%,186,4923,6.00%,-0.432232,1.9%,25.7%,3.3%,62.2%
MS,148.02,2025-09-19,27,152.50,Call,-3.03%,1.74,146.28,-1.18%,124,358,6.00%,-0.322642,1.2%,16.1%,4.3%,58.0%
MS,148.02,2025-09-19,27,155.00,Call,-4.72%,1.02,147,-0.69%,1060,5554,6.00%,-0.220812,0.7%,9.4%,5.4%,54.9%
MSFT,507.23,2025-09-12,20,510.00,Call,-0.55%,7.85,499.38,-1.55%,256,330,5.80%,-0.476496,1.6%,28.7%,2.1%,64.2%
MSFT,507.23,2025-09-12,20,515.00,Call,-1.53%,5.6,501.63,-1.10%,274,999,5.80%,-0.386105,1.1%,20.4%,2.7%,60.3%
MSFT,507.23,2025-09-12,20,520.00,Call,-2.52%,3.85,503.38,-0.76%,430,818,5.80%,-0.298341,0.8%,14.0%,3.3%,57.3%
MSFT,507.23,2025-09-12,20,525.00,Call,-3.50%,2.58,504.65,-0.51%,341,920,5.80%,-0.221594,0.5%,9.3%,4.0%,54.9%
MSFT,507.23,2025-09-12,20,530.00,Call,-4.49%,1.71,505.52,-0.34%,303,589,5.80%,-0.160912,0.3%,6.2%,4.8%,53.2%
MSFT,507.23,2025-09-26,34,515.00,Call,-1.53%,8.65,498.58,-1.71%,478,342,5.80%,-0.428184,1.7%,18.6%,3.3%,62.1%
MSFT,507.23,2025-09-26,34,520.00,Call,-2.52%,6.65,500.58,-1.31%,290,671,5.80%,-0.360831,1.3%,14.3%,3.9%,59.4%
MSFT,507.23,2025-09-26,34,525.00,Call,-3.50%,5,502.23,-0.99%,425,479,5.80%,-0.29476,1.0%,10.7%,4.5%,57.2%
MSFT,507.23,2025-09-26,34,530.00,Call,-4.49%,3.7,503.53,-0.73%,244,468,5.80%,-0.236618,0.7%,7.9%,5.3%,55.4%
MSFT,507.23,2025-09-19,27,507.50,Call,-0.05%,10.5,496.73,-2.07%,420,518,5.80%,-0.527028,2.1%,28.6%,2.2%,65.9%
MSFT,507.23,2025-09-19,27,510.00,Call,-0.55%,9.6,497.63,-1.89%,3883,7712,5.80%,-0.488611,1.9%,26.1%,2.5%,64.6%
MSFT,507.23,2025-09-19,27,515.00,Call,-1.53%,7.25,499.98,-1.43%,801,4607,5.80%,-0.411386,1.5%,19.6%,3.0%,61.3%
MSFT,507.23,2025-09-19,27,517.50,Call,-2.02%,6.25,500.98,-1.23%,198,1033,5.80%,-0.372595,1.2%,16.9%,3.3%,59.9%
MSFT,507.23,2025-09-19,27,520.00,Call,-2.52%,5.35,501.88,-1.05%,1449,7774,5.80%,-0.335109,1.1%,14.4%,3.6%,58.5%
MSFT,507.23,2025-09-19,27,525.00,Call,-3.50%,3.85,503.38,-0.76%,1166,4907,5.80%,-0.265522,0.8%,10.3%,4.3%,56.2%
MSFT,507.23,2025-09-19,27,530.00,Call,-4.49%,2.77,504.46,-0.55%,2829,7949,5.80%,-0.205485,0.5%,7.4%,5.1%,54.5%
MSFT,507.23,2025-09-19,27,535.00,Call,-5.47%,1.95,505.28,-0.38%,433,6686,5.80%,-0.156458,0.4%,5.2%,5.9%,53.1%
NFLX,1204.65,2025-09-26,34,"1,210.00",Call,-0.44%,35.7,1168.95,-2.96%,35,354,9.04%,-0.514291,3.1%,32.8%,3.5%,64.9%
NFLX,1204.65,2025-09-19,27,"1,220.00",Call,-1.27%,27.35,1177.3,-2.27%,224,1468,9.04%,-0.45883,2.3%,31.4%,3.6%,63.1%
NFLX,1204.65,2025-09-19,27,"1,240.00",Call,-2.93%,19,1185.65,-1.58%,72,1152,9.04%,-0.36253,1.6%,21.7%,4.6%,59.4%
NFLX,1204.65,2025-09-19,27,"1,250.00",Call,-3.76%,15.8,1188.85,-1.31%,333,304,9.04%,-0.318486,1.3%,18.0%,5.1%,57.8%
NFLX,1204.65,2025-09-19,27,"1,260.00",Call,-4.59%,13.15,1191.5,-1.09%,93,1739,9.04%,-0.27628,1.1%,14.9%,5.7%,56.6%
NFLX,1204.65,2025-09-19,27,"1,280.00",Call,-6.25%,8.65,1196,-0.72%,411,2797,9.04%,-0.206569,0.7%,9.8%,7.0%,54.3%
NFLX,1204.65,2025-09-19,27,"1,300.00",Call,-7.92%,6.15,1198.5,-0.51%,355,3205,9.04%,-0.150632,0.5%,6.9%,8.5%,53.0%
NVDA,177.99,2025-09-26,34,180.00,Call,-1.13%,8.65,169.34,-4.86%,2550,3814,28.38%,-0.504695,5.1%,54.8%,6.3%,64.8%
NVDA,177.99,2025-09-26,34,185.00,Call,-3.94%,6.45,171.54,-3.62%,915,3279,28.38%,-0.419729,3.8%,40.4%,7.8%,61.3%
NVDA,177.99,2025-09-26,34,190.00,Call,-6.75%,4.75,173.24,-2.67%,1075,3397,28.38%,-0.338912,2.7%,29.4%,9.7%,58.4%
NVDA,177.99,2025-09-19,27,177.50,Call,+0.28%,9.2,168.79,-5.17%,3638,3067,28.38%,-0.543711,5.2%,69.8%,5.2%,66.7%
NVDA,177.99,2025-09-19,27,180.00,Call,-1.13%,7.9,170.09,-4.44%,10155,42070,28.38%,-0.497773,4.6%,62.8%,5.8%,64.6%
NVDA,177.99,2025-09-19,27,182.50,Call,-2.53%,6.75,171.24,-3.79%,1816,3485,28.38%,-0.451592,3.9%,53.3%,6.6%,62.6%
NVDA,177.99,2025-09-19,27,185.00,Call,-3.94%,5.75,172.24,-3.23%,8341,106821,28.38%,-0.406388,3.3%,45.1%,7.4%,60.8%
NVDA,177.99,2025-09-19,27,187.50,Call,-5.34%,4.85,173.14,-2.72%,12049,1452,28.38%,-0.362091,2.8%,37.9%,8.3%,59.2%
NVDA,177.99,2025-09-19,27,190.00,Call,-6.75%,4.05,173.94,-2.28%,35841,113505,28.38%,-0.320705,2.3%,31.5%,9.2%,57.7%
NVDA,177.99,2025-09-12,20,180.00,Call,-1.13%,7.05,170.94,-3.96%,4724,4198,28.38%,-0.489876,4.1%,75.3%,5.3%,64.3%
NVDA,177.99,2025-09-12,20,185.00,Call,-3.94%,4.95,173.04,-2.78%,3511,11631,28.38%,-0.38942,2.9%,52.2%,6.9%,60.3%
NVDA,177.99,2025-09-12,20,190.00,Call,-6.75%,3.35,174.64,-1.88%,2323,13178,28.38%,-0.296856,1.9%,35.0%,8.8%,57.0%
NVO,56.98,2025-09-19,27,58.00,Call,-1.79%,2.09,54.89,-3.67%,1128,416,29.74%,-0.462698,3.8%,51.5%,5.7%,63.0%
NVO,56.98,2025-09-19,27,59.00,Call,-3.55%,1.71,55.27,-3.00%,32,908,29.74%,-0.401506,3.1%,41.8%,6.7%,60.8%
NVO,56.98,2025-09-19,27,60.00,Call,-5.30%,1.4,55.58,-2.46%,1799,8677,29.74%,-0.348555,2.5%,34.1%,8.0%,58.6%
NVO,56.98,2025-09-19,27,61.00,Call,-7.06%,1.1,55.88,-1.93%,718,505,29.74%,-0.298779,2.0%,26.6%,9.2%,56.7%
NVO,56.98,2025-09-12,20,58.00,Call,-1.79%,1.7,55.28,-2.98%,81,421,29.74%,-0.451214,3.1%,56.1%,4.9%,62.0%
NVO,56.98,2025-09-12,20,60.00,Call,-5.30%,1.04,55.94,-1.83%,303,469,29.74%,-0.31999,1.9%,33.9%,7.3%,57.4%
PANW,185.88,2025-09-12,20,190.00,Call,-2.22%,3.1,182.78,-1.67%,92,875,8.02%,-0.390831,1.7%,31.0%,4.0%,60.5%
PANW,185.88,2025-09-12,20,195.00,Call,-4.91%,1.67,184.21,-0.90%,412,1044,8.02%,-0.249043,0.9%,16.5%,5.9%,55.6%
PANW,185.88,2025-09-26,34,200.00,Call,-7.60%,1.83,184.05,-0.98%,228,492,8.02%,-0.219983,1.0%,10.7%,8.7%,54.6%
PANW,185.88,2025-09-19,27,187.50,Call,-0.87%,5.05,180.83,-2.72%,836,341,8.02%,-0.486192,2.8%,37.8%,3.7%,64.2%
PANW,185.88,2025-09-19,27,190.00,Call,-2.22%,3.95,181.93,-2.13%,906,11487,8.02%,-0.417419,2.2%,29.4%,4.4%,61.1%
PANW,185.88,2025-09-19,27,195.00,Call,-4.91%,2.37,183.51,-1.28%,157,6713,8.02%,-0.286434,1.3%,17.5%,6.3%,56.8%
PANW,185.88,2025-09-19,27,197.50,Call,-6.25%,1.79,184.09,-0.96%,611,598,8.02%,-0.232882,1.0%,13.1%,7.3%,55.1%
PANW,185.88,2025-09-19,27,200.00,Call,-7.60%,1.35,184.53,-0.73%,801,8606,8.02%,-0.186308,0.7%,9.9%,8.4%,53.9%
PG,158.67,2025-09-19,27,160.00,Call,-0.84%,2.4,156.27,-1.51%,293,7870,20.81%,-0.448218,1.5%,20.8%,2.4%,62.8%
PG,158.67,2025-09-19,27,162.50,Call,-2.41%,1.35,157.32,-0.85%,62,607,20.81%,-0.311324,0.9%,11.6%,3.3%,57.7%
PG,158.67,2025-09-19,27,165.00,Call,-3.99%,0.69,157.98,-0.43%,273,6024,20.81%,-0.19315,0.4%,5.9%,4.4%,54.1%
PG,158.67,2025-09-12,20,160.00,Call,-0.84%,1.85,156.82,-1.17%,93,829,20.81%,-0.432323,1.2%,21.5%,2.0%,61.7%
PLTR,158.74,2025-09-19,27,160.00,Call,-0.79%,8.4,150.34,-5.29%,7868,11017,17.83%,-0.514002,5.6%,75.5%,6.4%,65.3%
PLTR,158.74,2025-09-19,27,162.50,Call,-2.37%,7.25,151.49,-4.57%,1033,1010,17.83%,-0.469177,4.8%,64.7%,7.3%,63.3%
PLTR,158.74,2025-09-19,27,165.00,Call,-3.94%,6.2,152.54,-3.91%,5414,10519,17.83%,-0.425913,4.1%,54.9%,8.2%,61.3%
PLTR,158.74,2025-09-19,27,167.50,Call,-5.52%,5.3,153.44,-3.34%,878,577,17.83%,-0.381423,3.5%,46.7%,9.2%,59.8%
PLTR,158.74,2025-09-19,27,170.00,Call,-7.09%,4.5,154.24,-2.83%,3397,7977,17.83%,-0.34044,2.9%,39.4%,10.2%,58.4%
PLTR,158.74,2025-09-12,20,160.00,Call,-0.79%,7.05,151.69,-4.44%,2107,758,17.83%,-0.505629,4.6%,84.8%,5.5%,64.7%
PLTR,158.74,2025-09-12,20,162.50,Call,-2.37%,5.95,152.79,-3.75%,568,539,17.83%,-0.453523,3.9%,71.1%,6.4%,62.6%
PLTR,158.74,2025-09-12,20,165.00,Call,-3.94%,5,153.74,-3.15%,1287,847,17.83%,-0.402209,3.3%,59.4%,7.3%,60.7%
PLTR,158.74,2025-09-12,20,167.50,Call,-5.52%,4.1,154.64,-2.58%,317,367,17.83%,-0.352418,2.7%,48.4%,8.3%,58.8%
PLTR,158.74,2025-09-12,20,170.00,Call,-7.09%,3.4,155.34,-2.14%,1110,1226,17.83%,-0.308705,2.2%,39.9%,9.4%,57.3%
PLTR,158.74,2025-09-26,34,160.00,Call,-0.79%,9.55,149.19,-6.02%,1005,1736,17.83%,-0.521482,6.4%,68.7%,7.2%,65.5%
PLTR,158.74,2025-09-26,34,162.50,Call,-2.37%,8.4,150.34,-5.29%,1010,315,17.83%,-0.481709,5.6%,60.0%,8.1%,63.7%
PLTR,158.74,2025-09-26,34,165.00,Call,-3.94%,7.3,151.44,-4.60%,828,1129,17.83%,-0.442437,4.8%,51.7%,9.0%,61.9%
PLTR,158.74,2025-09-26,34,167.50,Call,-5.52%,6.45,152.29,-4.06%,432,500,17.83%,-0.403141,4.2%,45.5%,10.0%,60.6%
PLTR,158.74,2025-09-26,34,170.00,Call,-7.09%,5.55,153.19,-3.50%,629,757,17.83%,-0.365638,3.6%,38.9%,11.0%,59.2%
PYPL,69.9,2025-09-19,27,70.00,Call,-0.14%,2.25,67.65,-3.22%,946,9138,5.22%,-0.52469,3.3%,45.0%,3.5%,66.1%
PYPL,69.9,2025-09-19,27,72.50,Call,-3.72%,1.23,68.67,-1.76%,350,11858,5.22%,-0.350548,1.8%,24.2%,5.6%,58.9%
PYPL,69.9,2025-09-19,27,74.00,Call,-5.87%,0.82,69.08,-1.17%,131,1108,5.22%,-0.261027,1.2%,16.0%,7.1%,55.9%
PYPL,69.9,2025-09-19,27,75.00,Call,-7.30%,0.64,69.26,-0.92%,1039,30367,5.22%,-0.210664,0.9%,12.5%,8.3%,54.6%
PYPL,69.9,2025-09-12,20,70.00,Call,-0.14%,1.89,68.01,-2.70%,702,865,5.22%,-0.519183,2.8%,50.7%,2.9%,65.5%
PYPL,69.9,2025-09-12,20,72.00,Call,-3.00%,1.07,68.83,-1.53%,173,442,5.22%,-0.355224,1.6%,28.4%,4.6%,59.1%
RTX,156.24,2025-09-19,27,157.50,Call,-0.81%,2.53,153.71,-1.62%,33,763,8.71%,-0.459822,1.6%,22.3%,2.5%,63.0%
RTX,156.24,2025-09-19,27,160.00,Call,-2.41%,1.52,154.72,-0.97%,161,4638,8.71%,-0.334287,1.0%,13.3%,3.4%,58.0%
RTX,156.24,2025-09-26,34,160.00,Call,-2.41%,2,154.24,-1.28%,35,547,8.71%,-0.357469,1.3%,13.9%,3.7%,59.4%
V,350.04,2025-09-19,27,350.00,Call,+0.01%,7.45,342.59,-2.13%,367,2604,11.41%,-0.532041,2.2%,29.2%,2.2%,66.5%
V,350.04,2025-09-19,27,355.00,Call,-1.42%,4.85,345.19,-1.39%,35,2298,11.41%,-0.415913,1.4%,19.0%,2.8%,61.4%
V,350.04,2025-09-19,27,360.00,Call,-2.85%,2.92,347.12,-0.83%,212,3426,11.41%,-0.299821,0.8%,11.4%,3.7%,57.2%
V,350.04,2025-09-19,27,365.00,Call,-4.27%,1.67,348.37,-0.48%,207,1454,11.41%,-0.200336,0.5%,6.5%,4.8%,54.2%
XOM,111.28,2025-09-19,27,111.00,Call,+0.25%,2.64,108.64,-2.37%,932,558,4.68%,-0.53202,2.2%,29.4%,2.2%,66.5%
XOM,111.28,2025-09-19,27,112.00,Call,-0.65%,2.1,109.18,-1.89%,120,449,4.68%,-0.467231,1.9%,26.0%,2.6%,63.6%
XOM,111.28,2025-09-19,27,113.00,Call,-1.55%,1.63,109.65,-1.46%,33,307,4.68%,-0.402704,1.5%,20.1%,3.1%,60.7%
XOM,111.28,2025-09-19,27,115.00,Call,-3.34%,0.91,110.37,-0.82%,1473,17278,4.68%,-0.272338,0.8%,11.1%,4.2%,56.4%
XOM,111.28,2025-09-19,27,116.00,Call,-4.24%,0.66,110.62,-0.59%,109,409,4.68%,-0.214843,0.6%,8.1%,4.9%,54.7%
XOM,111.28,2025-09-12,20,112.00,Call,-0.65%,1.67,109.61,-1.50%,925,355,4.68%,-0.456021,1.5%,27.8%,2.2%,63.0%
XOM,111.28,2025-09-12,20,113.00,Call,-1.55%,1.23,110.05,-1.11%,86,2773,4.68%,-0.374982,1.1%,20.4%,2.7%,60.0%
XOM,111.28,2025-09-26,34,113.00,Call,-1.55%,1.9,109.38,-1.71%,26,447,4.68%,-0.416279,1.7%,18.6%,3.3%,61.2%
XOM,111.28,2025-09-26,34,115.00,Call,-3.34%,1.15,110.13,-1.03%,112,363,4.68%,-0.303068,1.0%,11.2%,4.4%,57.0%
"Downloaded from Barchart.com as of 08-24-2025 10:26pm CDT"
