Symbol,Ask,Bid,%Chg~,Volume~,"Exp Date",DTE,Strike,Type,Moneyness,Ask,Last,Volume,"Total OI","IV Rank",Delta,Theta,Vega,"BE (Ask)","%BE (Ask)","Yield to Strike%","Ann Yield to Strike%","ITM Prob","OTM Prob","Short Term~"
PLTR,0,0,+1.64%,102099109,2025-09-12,20,150.00,Put,-5.51%,4.15,4.1,1517,3975541,17.83%,0.299714,0.169734,-0.129115,145.85,-8.12%,2.70%,49.28%,32.79%,67.21%,Buy
NVDA,0,0,+1.72%,172789406,2025-09-12,20,170.00,Put,-4.49%,4.5,4.46,646,19075293,28.38%,0.317297,0.175433,-0.148435,165.5,-7.02%,2.62%,47.77%,34.44%,65.56%,Buy
PLTR,0,0,+1.64%,102099109,2025-09-19,27,150.00,Put,-5.51%,5.2,5.13,5312,3975541,17.83%,0.315974,0.147022,-0.153542,144.8,-8.78%,3.40%,45.96%,34.92%,65.08%,Buy
AMD,0,0,+2.47%,43998602,2025-09-12,20,160.00,Put,-4.63%,3.4,3.35,469,4006572,14.98%,0.295582,0.14146,-0.13559,156.6,-6.65%,2.06%,37.64%,32.05%,67.95%,Buy
AVGO,0,0,+1.52%,16301301,2025-09-12,20,270.00,Put,-8.16%,5.75,5.71,277,1845664,36.04%,0.234839,0.291987,-0.211355,264.25,-10.12%,2.06%,37.51%,25.99%,74.01%,Buy
NVDA,0,0,+1.72%,172789406,2025-09-19,27,168.00,Put,-5.61%,4.6,4.59,294,19075293,28.38%,0.296563,0.140633,-0.167389,163.4,-8.20%,2.68%,36.21%,32.67%,67.33%,Buy
AMD,0,0,+2.47%,43998602,2025-09-19,27,160.00,Put,-4.63%,4.3,4.26,1425,4006572,14.98%,0.314185,0.123771,-0.161853,155.7,-7.19%,2.63%,35.49%,34.37%,65.63%,Buy
PLTR,0,0,+1.64%,102099109,2025-09-12,20,145.00,Put,-8.66%,2.93,2.87,279,3975541,17.83%,0.22211,0.152505,-0.110618,142.07,-10.50%,1.94%,35.49%,24.73%,75.27%,Buy
NVDA,0,0,+1.72%,172789406,2025-09-19,27,167.50,Put,-5.89%,4.45,4.42,1092,19075293,28.38%,0.288519,0.138897,-0.165276,163.05,-8.39%,2.60%,35.11%,31.84%,68.16%,Buy
PLTR,0,0,+1.64%,102099109,2025-09-19,27,145.00,Put,-8.66%,3.85,3.7,2037,3975541,17.83%,0.243161,0.133779,-0.135158,141.15,-11.08%,2.55%,34.50%,27.34%,72.66%,Buy
NVDA,0,0,+1.72%,172789406,2025-09-12,20,165.00,Put,-7.30%,3.1,3.07,2675,19075293,28.38%,0.235802,0.156553,-0.128263,161.9,-9.04%,1.85%,33.73%,26.00%,74.00%,Buy
PLTR,0,0,+1.64%,102099109,2025-09-26,34,145.00,Put,-8.66%,4.65,4.5,442,3975541,17.83%,0.25865,0.120993,-0.156698,140.35,-11.58%,3.10%,33.32%,29.37%,70.63%,Buy
AVGO,0,0,+1.52%,16301301,2025-09-19,27,270.00,Put,-8.16%,6.85,6.77,932,1845664,36.04%,0.24882,0.241984,-0.253377,263.15,-10.49%,2.44%,33.05%,27.76%,72.24%,Buy
NVDA,0,0,+1.72%,172789406,2025-09-19,27,166.00,Put,-6.74%,4,4,740,19075293,28.38%,0.266373,0.134918,-0.158947,162,-8.98%,2.35%,31.76%,29.53%,70.47%,Buy
NVDA,0,0,+1.72%,172789406,2025-09-19,27,165.00,Put,-7.30%,3.75,3.7,1979,19075293,28.38%,0.251297,0.131083,-0.154226,161.25,-9.41%,2.21%,29.90%,27.95%,72.05%,Buy
AMD,0,0,+2.47%,43998602,2025-09-19,27,157.50,Put,-6.12%,3.55,3.6,1762,4006572,14.98%,0.269891,0.116987,-0.150805,153.95,-8.23%,2.19%,29.61%,29.79%,70.21%,Buy
CRM,249,248.49,+1.00%,6694200,2025-09-19,27,230.00,Put,-7.37%,5,4.95,1255,640537,63.86%,0.247119,0.178747,-0.213206,225,-9.38%,2.09%,28.21%,27.39%,72.61%,Sell
NVDA,0,0,+1.72%,172789406,2025-09-19,27,164.00,Put,-7.86%,3.5,3.5,9475,19075293,28.38%,0.238721,0.129209,-0.150024,160.5,-9.83%,2.07%,28.03%,26.64%,73.36%,Buy
NVDA,0,0,+1.72%,172789406,2025-09-26,34,165.00,Put,-7.30%,4.3,4.26,421,19075293,28.38%,0.262412,0.114042,-0.176993,160.7,-9.71%,2.55%,27.33%,29.44%,70.56%,Buy
NVDA,0,0,+1.72%,172789406,2025-09-19,27,162.00,Put,-8.98%,3.05,3.05,779,19075293,28.38%,0.212915,0.122798,-0.140634,158.95,-10.70%,1.85%,24.95%,23.92%,76.08%,Buy
AMD,0,0,+2.47%,43998602,2025-09-19,27,155.00,Put,-7.61%,2.89,3.02,606,4006572,14.98%,0.230081,0.109507,-0.138547,152.11,-9.33%,1.85%,24.94%,25.62%,74.38%,Buy
AMD,0,0,+2.47%,43998602,2025-09-12,20,155.00,Put,-7.61%,2.14,2.3,346,4006572,14.98%,0.204157,0.120738,-0.111295,152.86,-8.88%,1.35%,24.73%,22.53%,77.47%,Buy
META,0,0,+2.12%,10612601,2025-09-19,27,730.00,Put,-3.28%,11.65,11.5,454,2085809,3.38%,0.304137,0.346244,-0.717739,718.35,-4.83%,1.56%,21.11%,32.95%,67.05%,Buy
SMH,0,0,+2.15%,5810300,2025-09-19,27,280.00,Put,-4.65%,4.25,4.05,286,1025563,5.22%,0.264074,0.14344,-0.26104,275.75,-6.09%,1.48%,20.04%,28.91%,71.09%,Buy
AMZN,0,0,+3.10%,37315301,2025-09-19,27,222.50,Put,-2.77%,3.25,3.22,607,3831129,2.75%,0.31269,0.093733,-0.220213,219.25,-4.19%,1.42%,19.14%,33.90%,66.10%,Buy
META,0,0,+2.12%,10612601,2025-09-19,27,725.00,Put,-3.95%,10.3,10.33,320,2085809,3.38%,0.275179,0.335919,-0.684928,714.7,-5.31%,1.39%,18.74%,29.97%,70.03%,Buy
GOOGL,0,0,+3.17%,42827000,2025-09-19,27,195.00,Put,-5.38%,2.72,2.71,4577,3427403,25.63%,0.241972,0.099989,-0.174962,192.28,-6.70%,1.36%,18.44%,26.53%,73.47%,Buy
AAPL,0,0,+1.27%,42477801,2025-09-12,20,220.00,Put,-3.41%,2.33,2.28,930,5635853,15.50%,0.263844,0.107017,-0.174166,217.67,-4.43%,1.00%,18.25%,28.40%,71.60%,Buy
NFLX,0,0,-0.13%,3128100,2025-09-19,27,"1,160.00",Put,-3.71%,16.45,16.17,531,558923,9.04%,0.280641,0.52242,-1.103567,1143.55,-5.07%,1.34%,18.18%,30.60%,69.40%,Buy
IWM,235.27,235.05,+3.92%,58205500,2025-09-19,27,229.00,Put,-2.48%,3.08,3.11,309,11479682,10.08%,0.31825,0.089148,-0.22766,225.92,-3.79%,1.33%,17.95%,34.08%,65.92%,Buy
AAPL,0,0,+1.27%,42477801,2025-09-19,27,220.00,Put,-3.41%,2.89,2.86,2801,5635853,15.50%,0.28339,0.092037,-0.2096,217.11,-4.68%,1.27%,17.14%,30.75%,69.25%,Buy
IWM,235.27,235.05,+3.92%,58205500,2025-09-19,27,228.00,Put,-2.91%,2.8,2.88,47210,11479682,10.08%,0.294432,0.087118,-0.220012,225.2,-4.10%,1.21%,16.31%,31.64%,68.36%,Buy
AMZN,0,0,+3.10%,37315301,2025-09-19,27,220.00,Put,-3.86%,2.58,2.54,2909,3831129,2.75%,0.258921,0.087853,-0.201349,217.42,-4.99%,1.15%,15.55%,28.35%,71.65%,Buy
AMZN,0,0,+3.10%,37315301,2025-09-12,20,220.00,Put,-3.86%,1.92,1.9,367,3831129,2.75%,0.233236,0.098001,-0.163875,218.08,-4.70%,0.84%,15.35%,25.34%,74.66%,Buy
AMZN,0,0,+3.10%,37315301,2025-09-26,34,220.00,Put,-3.86%,3.2,3.14,397,3831129,2.75%,0.276892,0.080124,-0.23363,216.8,-5.26%,1.41%,15.13%,30.56%,69.44%,Buy
IWM,235.27,235.05,+3.92%,58205500,2025-09-19,27,227.00,Put,-3.33%,2.53,2.51,1759,11479682,10.08%,0.271739,0.084735,-0.211707,224.47,-4.41%,1.10%,14.89%,29.30%,70.70%,Buy
META,0,0,+2.12%,10612601,2025-09-19,27,715.00,Put,-5.27%,8,7.97,533,2085809,3.38%,0.223805,0.311837,-0.613616,707,-6.33%,1.08%,14.65%,24.61%,75.39%,Buy
MSFT,0,0,+0.59%,24324102,2025-09-19,27,495.00,Put,-2.41%,5.2,5.1,384,2352500,5.80%,0.296347,0.156498,-0.476481,489.8,-3.44%,1.02%,13.79%,32.09%,67.91%,Buy
IWM,235.27,235.05,+3.92%,58205500,2025-09-19,27,226.00,Put,-3.76%,2.3,2.27,3082,11479682,10.08%,0.250347,0.08216,-0.202969,223.7,-4.74%,1.00%,13.52%,27.08%,72.92%,Buy
QQQ,0,0,+1.54%,51502102,2025-09-12,20,560.00,Put,-2.09%,4.19,4.28,505,8921850,6.92%,0.281325,0.182645,-0.451286,555.81,-2.83%,0.74%,13.52%,30.33%,69.67%,Buy
DIS,118.99,118.65,+2.28%,7161700,2025-09-19,27,115.00,Put,-3.25%,1.19,1.17,772,858248,8.66%,0.267255,0.040305,-0.106254,113.81,-4.25%,0.97%,13.05%,28.70%,71.30%,Buy
QQQ,0,0,+1.54%,51502102,2025-09-19,27,560.00,Put,-2.09%,5.45,5.54,6751,8921850,6.92%,0.303645,0.16111,-0.543249,554.55,-3.05%,0.96%,13.04%,32.98%,67.02%,Buy
QQQ,0,0,+1.54%,51502102,2025-09-26,34,560.00,Put,-2.09%,6.63,6.83,2346,8921850,6.92%,0.318993,0.145762,-0.622184,553.37,-3.25%,1.17%,12.59%,34.91%,65.09%,Buy
QQQ,0,0,+1.54%,51502102,2025-09-19,27,559.00,Put,-2.27%,5.23,5.19,266,8921850,6.92%,0.292073,0.160032,-0.533738,553.77,-3.18%,0.93%,12.55%,31.79%,68.21%,Buy
IWM,235.27,235.05,+3.92%,58205500,2025-09-19,27,225.00,Put,-4.19%,2.08,2.05,13921,11479682,10.08%,0.230119,0.079344,-0.193874,222.92,-5.07%,0.91%,12.26%,24.98%,75.02%,Buy
QQQ,0,0,+1.54%,51502102,2025-09-19,27,558.00,Put,-2.44%,5.02,5.1,1286,8921850,6.92%,0.281573,0.159624,-0.524553,552.98,-3.32%,0.89%,12.06%,30.69%,69.31%,Buy
IWM,235.27,235.05,+3.92%,58205500,2025-09-12,20,226.00,Put,-3.76%,1.51,1.48,1393,11479682,10.08%,0.21146,0.083274,-0.159,224.49,-4.40%,0.65%,11.79%,22.77%,77.23%,Buy
JPM,297,296.37,+1.64%,8552800,2025-09-19,27,285.00,Put,-3.79%,2.73,2.66,281,723650,8.25%,0.243318,0.099409,-0.252165,282.27,-4.72%,0.87%,11.72%,26.16%,73.84%,Buy
QQQ,0,0,+1.54%,51502102,2025-09-19,27,557.00,Put,-2.62%,4.82,4.93,360,8921850,6.92%,0.271109,0.158644,-0.514897,552.18,-3.46%,0.86%,11.60%,29.60%,70.40%,Buy
PG,158.7,158.49,-0.04%,5797300,2025-09-19,27,155.00,Put,-2.31%,1.45,1.43,351,298542,20.81%,0.294306,0.045926,-0.148567,153.55,-3.23%,0.86%,11.60%,31.10%,68.90%,Sell
IWM,235.27,235.05,+3.92%,58205500,2025-09-30,38,225.00,Put,-4.19%,2.7,2.7,1049,11479682,10.08%,0.253903,0.067264,-0.242508,222.3,-5.34%,1.17%,11.27%,27.90%,72.10%,Buy
IWM,235.27,235.05,+3.92%,58205500,2025-09-19,27,224.00,Put,-4.61%,1.88,1.84,50949,11479682,10.08%,0.211884,0.076801,-0.184942,222.12,-5.41%,0.83%,11.16%,23.08%,76.92%,Buy
QQQ,0,0,+1.54%,51502102,2025-09-19,27,556.00,Put,-2.79%,4.63,4.67,258,8921850,6.92%,0.26105,0.157569,-0.505128,551.37,-3.60%,0.83%,11.16%,28.55%,71.45%,Buy
MSFT,0,0,+0.59%,24324102,2025-09-19,27,490.00,Put,-3.40%,4.05,3.91,1698,2352500,5.80%,0.240179,0.147517,-0.428747,485.95,-4.20%,0.81%,10.90%,26.27%,73.73%,Buy
JNJ,179.28,179.15,+0.20%,9524300,2025-09-19,27,175.00,Put,-2.39%,1.54,1.42,282,485222,9.35%,0.279236,0.04803,-0.16375,173.46,-3.25%,0.81%,10.89%,29.45%,70.55%,Buy
QQQ,0,0,+1.54%,51502102,2025-09-19,27,555.00,Put,-2.97%,4.44,4.42,6888,8921850,6.92%,0.251179,0.15617,-0.495071,550.56,-3.74%,0.79%,10.72%,27.51%,72.49%,Buy
QQQ,0,0,+1.54%,51502102,2025-09-12,20,555.00,Put,-2.97%,3.27,3.35,2081,8921850,6.92%,0.223628,0.172481,-0.399912,551.73,-3.54%,0.58%,10.62%,24.33%,75.67%,Buy
QQQ,0,0,+1.54%,51502102,2025-09-19,27,554.00,Put,-3.14%,4.27,4.39,407,8921850,6.92%,0.24182,0.154871,-0.485228,549.73,-3.89%,0.76%,10.32%,26.54%,73.46%,Buy
QQQ,0,0,+1.54%,51502102,2025-09-30,38,555.00,Put,-2.97%,6,6.07,811,8921850,6.92%,0.276511,0.134328,-0.616766,549,-4.02%,1.07%,10.28%,30.69%,69.31%,Buy
CSCO,0,0,+0.45%,16830500,2025-09-19,27,65.00,Put,-3.45%,0.51,0.55,293,1298097,16.62%,0.235806,0.019307,-0.056324,64.49,-4.20%,0.75%,10.19%,25.18%,74.82%,Buy
XLE,88.24,88.05,+2.04%,15468100,2025-09-19,27,86.00,Put,-2.43%,0.96,0.85,678,2038029,5.23%,0.292834,0.026623,-0.08233,85.04,-3.52%,0.74%,10.06%,31.55%,68.45%,Hold
QQQ,0,0,+1.54%,51502102,2025-09-19,27,553.00,Put,-3.32%,4.1,4.25,1178,8921850,6.92%,0.232694,0.153354,-0.475137,548.9,-4.03%,0.73%,9.92%,25.59%,74.41%,Buy
QQQ,0,0,+1.54%,51502102,2025-09-19,27,552.00,Put,-3.49%,3.94,3.92,1670,8921850,6.92%,0.22401,0.151835,-0.465095,548.06,-4.18%,0.71%,9.55%,24.67%,75.33%,Buy
HD,412.8,412.41,+3.79%,5284600,2025-09-19,27,395.00,Put,-4.31%,2.97,2.73,1509,266698,4.65%,0.202888,0.117523,-0.316792,392.03,-5.03%,0.68%,9.24%,21.84%,78.16%,Buy
IWM,235.27,235.05,+3.92%,58205500,2025-09-30,38,222.00,Put,-5.46%,2.1,2.12,328,11479682,10.08%,0.203873,0.061446,-0.214412,219.9,-6.36%,0.93%,8.91%,22.64%,77.36%,Buy
SPY,645.75,645.5,+1.54%,84083200,2025-09-19,27,632.00,Put,-2.06%,4.16,4.13,1045,17273970,6.40%,0.269582,0.13774,-0.579176,627.84,-2.71%,0.66%,8.88%,29.41%,70.59%,Buy
QQQ,0,0,+1.54%,51502102,2025-09-19,27,550.00,Put,-3.84%,3.64,3.63,18451,8921850,6.92%,0.207861,0.148849,-0.445359,546.36,-4.48%,0.65%,8.85%,22.96%,77.04%,Buy
QQQ,0,0,+1.54%,51502102,2025-09-30,38,550.00,Put,-3.84%,5.07,5.05,2307,8921850,6.92%,0.236181,0.130413,-0.568093,544.93,-4.73%,0.91%,8.78%,26.43%,73.57%,Buy
SPY,645.75,645.5,+1.54%,84083200,2025-09-19,27,631.00,Put,-2.22%,3.99,4,505,17273970,6.40%,0.25854,0.136946,-0.566968,627.01,-2.84%,0.63%,8.51%,28.25%,71.75%,Buy
GLD,310.87,310.6,+1.07%,8526400,2025-09-19,27,304.00,Put,-2.12%,1.91,1.92,640,3296275,7.81%,0.258881,0.062878,-0.272961,302.09,-2.73%,0.61%,8.27%,28.85%,71.15%,Buy
SPY,645.75,645.5,+1.54%,84083200,2025-09-30,38,632.00,Put,-2.06%,5.45,5.43,8091,17273970,6.40%,0.291699,0.115851,-0.713007,626.55,-2.91%,0.86%,8.24%,32.24%,67.76%,Buy
SPY,645.75,645.5,+1.54%,84083200,2025-09-19,27,630.00,Put,-2.37%,3.82,3.81,28040,17273970,6.40%,0.247889,0.135935,-0.55456,626.18,-2.96%,0.60%,8.15%,27.13%,72.87%,Buy
SPY,645.75,645.5,+1.54%,84083200,2025-09-12,20,632.00,Put,-2.06%,2.84,2.9,978,17273970,6.40%,0.234427,0.144065,-0.463228,629.16,-2.50%,0.45%,8.14%,25.48%,74.52%,Buy
XLE,88.24,88.05,+2.04%,15468100,2025-09-19,27,85.00,Put,-3.56%,0.8,0.67,462,2038029,5.23%,0.232776,0.025551,-0.073234,84.2,-4.47%,0.59%,7.95%,25.32%,74.68%,Hold
SPY,645.75,645.5,+1.54%,84083200,2025-09-19,27,629.00,Put,-2.53%,3.66,3.67,850,17273970,6.40%,0.237607,0.134721,-0.541986,625.34,-3.09%,0.58%,7.80%,26.04%,73.96%,Buy
SPY,645.75,645.5,+1.54%,84083200,2025-09-12,20,631.00,Put,-2.22%,2.69,2.87,366,17273970,6.40%,0.222363,0.142264,-0.449685,628.31,-2.63%,0.42%,7.72%,24.21%,75.79%,Buy
SPY,645.75,645.5,+1.54%,84083200,2025-09-30,38,630.00,Put,-2.37%,5.07,5.11,2604,17273970,6.40%,0.271976,0.115333,-0.689593,624.93,-3.16%,0.80%,7.70%,30.17%,69.83%,Buy
SPY,645.75,645.5,+1.54%,84083200,2025-09-19,27,628.00,Put,-2.68%,3.51,3.68,4647,17273970,6.40%,0.227903,0.133556,-0.529635,624.49,-3.23%,0.55%,7.49%,25.02%,74.98%,Buy
SPY,645.75,645.5,+1.54%,84083200,2025-09-12,20,630.00,Put,-2.37%,2.55,2.53,2118,17273970,6.40%,0.211176,0.140547,-0.436461,627.45,-2.77%,0.40%,7.36%,23.03%,76.97%,Buy
XLF,53.65,53.6,+1.65%,47249700,2025-09-19,27,52.00,Put,-2.93%,0.51,0.33,5538,4932747,0.32%,0.23192,0.012546,-0.04441,51.49,-3.88%,0.54%,7.28%,25.30%,74.70%,Buy
GLD,310.87,310.6,+1.07%,8526400,2025-09-19,27,303.00,Put,-2.44%,1.66,1.66,891,3296275,7.81%,0.233311,0.060357,-0.258301,301.34,-2.98%,0.53%,7.23%,26.17%,73.83%,Buy
SPY,645.75,645.5,+1.54%,84083200,2025-09-19,27,626.00,Put,-2.99%,3.22,3.34,255,17273970,6.40%,0.209566,0.130768,-0.504814,622.78,-3.49%,0.51%,6.91%,23.08%,76.92%,Buy
TLT,0,0,+0.74%,49871801,2025-09-19,27,85.00,Put,-2.35%,0.44,0.43,3203,5650810,2.17%,0.232126,0.016226,-0.072177,84.56,-2.86%,0.49%,6.68%,25.40%,74.60%,Hold
TLT,0,0,+0.74%,49871801,2025-09-12,20,85.00,Put,-2.35%,0.33,0.34,568,5650810,2.17%,0.205842,0.018099,-0.057999,84.67,-2.73%,0.36%,6.66%,22.36%,77.64%,Hold
SPY,645.75,645.5,+1.54%,84083200,2025-09-19,27,625.00,Put,-3.15%,3.09,3.08,24084,17273970,6.40%,0.201108,0.129362,-0.492613,621.91,-3.63%,0.49%,6.64%,22.18%,77.82%,Buy
SPY,645.75,645.5,+1.54%,84083200,2025-09-30,38,625.00,Put,-3.15%,4.27,4.28,2073,17273970,6.40%,0.228824,0.112653,-0.629612,620.73,-3.81%,0.68%,6.53%,25.60%,74.40%,Buy
TLT,0,0,+0.74%,49871801,2025-09-26,34,85.00,Put,-2.35%,0.53,0.51,264,5650810,2.17%,0.24641,0.014273,-0.083663,84.47,-2.96%,0.60%,6.44%,27.29%,72.71%,Hold
TLT,0,0,+0.74%,49871801,2025-09-30,38,85.00,Put,-2.35%,0.57,0.57,970,5650810,2.17%,0.256129,0.013713,-0.090264,84.43,-3.01%,0.65%,6.22%,28.46%,71.54%,Hold
DIA,457.99,456.94,+1.94%,8534700,2025-09-19,27,445.00,Put,-2.55%,2.1,2.15,601,484474,3.91%,0.213683,0.080286,-0.361249,442.9,-3.01%,0.45%,6.14%,24.07%,75.93%,Buy
SPY,645.75,645.5,+1.54%,84083200,2025-09-30,38,623.00,Put,-3.46%,3.99,3.96,319,17273970,6.40%,0.213717,0.111117,-0.605489,619.01,-4.08%,0.64%,6.12%,23.98%,76.02%,Buy
XLF,53.65,53.6,+1.65%,47249700,2025-09-30,38,52.00,Put,-2.93%,0.48,0.45,1050,4932747,0.32%,0.258886,0.010856,-0.055865,51.52,-3.83%,0.46%,4.43%,28.59%,71.41%,Buy
"Downloaded from Barchart.com as of 08-24-2025 12:57pm CDT"
