Symbol,Price~,"Exp Date",DTE,"Leg1 Strike",Type,Bid1,"Leg2 Strike",Type,Ask2,BE,"Net Cr(Db)",%Cost,"Max Profit","Max Loss",Upside,Downside,Delta,"Profit Prob"
IWM,225.98,2025-09-30,40,250.00,Call,0.55,200.00,Put,0.84,226.27,-0.29,-0.1%,23.73,26.27,10.50%,-11.62%,0.835423,49.3%
IWM,225.98,2025-10-17,57,240.00,Call,2.76,188.00,Put,0.72,223.94,2.04,0.9%,16.06,35.94,7.11%,-15.90%,0.68064,54.2%
IWM,225.98,2025-10-17,57,240.00,Call,2.76,199.00,Put,1.36,224.58,1.4,0.6%,15.42,25.58,6.82%,-11.32%,0.6309,52.9%
IWM,225.98,2025-10-17,57,250.00,Call,1.1,188.00,Put,0.72,225.6,0.38,0.2%,24.4,37.6,10.80%,-16.64%,0.81728,50.8%
IWM,225.98,2025-10-17,57,250.00,Call,1.1,199.00,Put,1.36,226.24,-0.26,-0.1%,23.76,27.24,10.51%,-12.05%,0.76754,49.5%
IWM,225.98,2025-10-17,57,255.00,Call,0.68,199.00,Put,1.36,226.66,-0.68,-0.3%,28.34,27.66,12.54%,-12.24%,0.808967,48.6%
IWM,225.98,2025-11-21,92,240.00,Call,4.73,190.00,Put,1.56,222.81,3.17,1.4%,17.19,32.81,7.61%,-14.52%,0.578419,55.2%
IWM,225.98,2025-11-21,92,240.00,Call,4.73,197.00,Put,2.15,223.4,2.58,1.1%,16.6,26.4,7.35%,-11.68%,0.543334,54.2%
IWM,225.98,2025-11-21,92,240.00,Call,4.73,200.00,Put,2.48,223.73,2.25,1.0%,16.27,23.73,7.20%,-10.50%,0.524087,53.7%
IWM,225.98,2025-11-21,92,245.00,Call,3.38,190.00,Put,1.56,224.16,1.82,0.8%,20.84,34.16,9.22%,-15.12%,0.649026,53.0%
IWM,225.98,2025-11-21,92,245.00,Call,3.38,197.00,Put,2.15,224.75,1.23,0.5%,20.25,27.75,8.96%,-12.28%,0.613941,52.0%
IWM,225.98,2025-11-21,92,245.00,Call,3.38,200.00,Put,2.48,225.08,0.9,0.4%,19.92,25.08,8.81%,-11.10%,0.594694,51.5%
IWM,225.98,2025-11-21,92,250.00,Call,2.38,190.00,Put,1.56,225.16,0.82,0.4%,24.84,35.16,10.99%,-15.56%,0.709227,51.3%
IWM,225.98,2025-11-21,92,250.00,Call,2.38,197.00,Put,2.15,225.75,0.23,0.1%,24.25,28.75,10.73%,-12.72%,0.674142,50.4%
IWM,225.98,2025-11-21,92,250.00,Call,2.38,200.00,Put,2.48,226.08,-0.1,0.0%,23.92,26.08,10.59%,-11.54%,0.654895,49.8%
IWM,225.98,2025-11-21,92,255.00,Call,1.67,197.00,Put,2.15,226.46,-0.48,-0.2%,28.54,29.46,12.63%,-13.04%,0.722783,49.2%
IWM,225.98,2025-11-21,92,255.00,Call,1.67,200.00,Put,2.48,226.79,-0.81,-0.4%,28.21,26.79,12.48%,-11.86%,0.703536,48.7%
IWM,225.98,2025-12-19,120,245.00,Call,4.53,185.00,Put,1.8,223.25,2.73,1.2%,21.75,38.25,9.62%,-16.93%,0.614845,53.9%
IWM,225.98,2025-12-19,120,245.00,Call,4.53,200.00,Put,3.32,224.77,1.21,0.5%,20.23,24.77,8.95%,-10.96%,0.537706,51.7%
IWM,225.98,2025-12-19,120,250.00,Call,3.36,200.00,Put,3.32,225.94,0.04,0.0%,24.06,25.94,10.65%,-11.48%,0.595837,50.1%
QQQ,563.29,2025-09-30,40,595.00,Call,2.08,470.00,Put,0.96,562.17,1.12,0.2%,32.83,92.17,5.83%,-16.36%,0.808754,51.3%
QQQ,563.29,2025-09-30,40,595.00,Call,2.08,480.00,Put,1.19,562.4,0.89,0.2%,32.6,82.4,5.79%,-14.63%,0.798705,51.1%
QQQ,563.29,2025-09-30,40,595.00,Call,2.08,490.00,Put,1.5,562.71,0.58,0.1%,32.29,72.71,5.73%,-12.91%,0.785074,50.7%
QQQ,563.29,2025-09-30,40,595.00,Call,2.08,500.00,Put,1.93,563.14,0.15,0.0%,31.86,63.14,5.66%,-11.21%,0.766765,50.2%
QQQ,563.29,2025-09-30,40,600.00,Call,1.39,470.00,Put,0.96,562.86,0.43,0.1%,37.14,92.86,6.59%,-16.49%,0.850387,50.5%
QQQ,563.29,2025-09-30,40,600.00,Call,1.39,480.00,Put,1.19,563.09,0.2,0.0%,36.91,83.09,6.55%,-14.75%,0.840338,50.2%
QQQ,563.29,2025-09-30,40,600.00,Call,1.39,490.00,Put,1.5,563.4,-0.11,0.0%,36.6,73.4,6.50%,-13.03%,0.826707,49.9%
QQQ,563.29,2025-09-30,40,600.00,Call,1.39,500.00,Put,1.93,563.83,-0.54,-0.1%,36.17,63.83,6.42%,-11.33%,0.808398,49.4%
QQQ,563.29,2025-09-30,40,610.00,Call,0.61,470.00,Put,0.96,563.64,-0.35,-0.1%,46.36,93.64,8.23%,-16.62%,0.905739,49.6%
QQQ,563.29,2025-09-30,40,610.00,Call,0.61,480.00,Put,1.19,563.87,-0.58,-0.1%,46.13,83.87,8.19%,-14.89%,0.89569,49.3%
QQQ,563.29,2025-09-30,40,610.00,Call,0.61,490.00,Put,1.5,564.18,-0.89,-0.2%,45.82,74.18,8.13%,-13.17%,0.882059,48.9%
QQQ,563.29,2025-09-30,40,610.00,Call,0.61,500.00,Put,1.93,564.61,-1.32,-0.2%,45.39,64.61,8.06%,-11.47%,0.86375,48.4%
QQQ,563.29,2025-09-30,40,620.00,Call,0.27,480.00,Put,1.19,564.21,-0.92,-0.2%,55.79,84.21,9.90%,-14.95%,0.924333,48.9%
QQQ,563.29,2025-09-30,40,620.00,Call,0.27,490.00,Put,1.5,564.52,-1.23,-0.2%,55.48,74.52,9.85%,-13.23%,0.910702,48.5%
QQQ,563.29,2025-09-30,40,620.00,Call,0.27,500.00,Put,1.93,564.95,-1.66,-0.3%,55.05,64.95,9.77%,-11.53%,0.892393,48.0%
QQQ,563.29,2025-09-30,40,630.00,Call,0.12,490.00,Put,1.5,564.67,-1.38,-0.2%,65.33,74.67,11.60%,-13.26%,0.924053,48.4%
QQQ,563.29,2025-09-30,40,630.00,Call,0.12,500.00,Put,1.93,565.1,-1.81,-0.3%,64.9,65.1,11.52%,-11.56%,0.905744,47.8%
QQQ,563.29,2025-10-17,57,595.00,Call,4.18,465.00,Put,1.55,560.66,2.63,0.5%,34.34,95.66,6.10%,-16.98%,0.727884,52.6%
QQQ,563.29,2025-10-17,57,595.00,Call,4.18,470.00,Put,1.71,560.82,2.47,0.4%,34.18,90.82,6.07%,-16.12%,0.722456,52.4%
QQQ,563.29,2025-10-17,57,595.00,Call,4.18,475.00,Put,1.89,561,2.29,0.4%,34,86,6.04%,-15.27%,0.716225,52.2%
QQQ,563.29,2025-10-17,57,595.00,Call,4.18,480.00,Put,2.09,561.2,2.09,0.4%,33.8,81.2,6.00%,-14.42%,0.709265,52.0%
QQQ,563.29,2025-10-17,57,595.00,Call,4.18,485.00,Put,2.32,561.43,1.86,0.3%,33.57,76.43,5.96%,-13.57%,0.701308,51.8%
QQQ,563.29,2025-10-17,57,595.00,Call,4.18,490.00,Put,2.58,561.69,1.6,0.3%,33.31,71.69,5.91%,-12.73%,0.692353,51.6%
QQQ,563.29,2025-10-17,57,595.00,Call,4.18,495.00,Put,2.88,561.99,1.3,0.2%,33.01,66.99,5.86%,-11.89%,0.68223,51.3%
QQQ,563.29,2025-10-17,57,595.00,Call,4.18,500.00,Put,3.21,562.32,0.97,0.2%,32.68,62.32,5.80%,-11.06%,0.670795,50.9%
QQQ,563.29,2025-10-17,57,595.00,Call,4.18,505.00,Put,3.6,562.71,0.58,0.1%,32.29,57.71,5.73%,-10.25%,0.65778,50.6%
QQQ,563.29,2025-10-17,57,600.00,Call,3.08,465.00,Put,1.55,561.76,1.53,0.3%,38.24,96.76,6.79%,-17.18%,0.772448,51.5%
QQQ,563.29,2025-10-17,57,600.00,Call,3.08,470.00,Put,1.71,561.92,1.37,0.2%,38.08,91.92,6.76%,-16.32%,0.76702,51.3%
QQQ,563.29,2025-10-17,57,600.00,Call,3.08,475.00,Put,1.89,562.1,1.19,0.2%,37.9,87.1,6.73%,-15.46%,0.760789,51.2%
QQQ,563.29,2025-10-17,57,600.00,Call,3.08,480.00,Put,2.09,562.3,0.99,0.2%,37.7,82.3,6.69%,-14.61%,0.753829,51.0%
QQQ,563.29,2025-10-17,57,600.00,Call,3.08,485.00,Put,2.32,562.53,0.76,0.1%,37.47,77.53,6.65%,-13.76%,0.745872,50.7%
QQQ,563.29,2025-10-17,57,600.00,Call,3.08,490.00,Put,2.58,562.79,0.5,0.1%,37.21,72.79,6.61%,-12.92%,0.736917,50.5%
QQQ,563.29,2025-10-17,57,600.00,Call,3.08,495.00,Put,2.88,563.09,0.2,0.0%,36.91,68.09,6.55%,-12.09%,0.726793,50.2%
QQQ,563.29,2025-10-17,57,600.00,Call,3.08,500.00,Put,3.21,563.42,-0.13,0.0%,36.58,63.42,6.49%,-11.26%,0.715359,49.9%
QQQ,563.29,2025-10-17,57,600.00,Call,3.08,505.00,Put,3.6,563.81,-0.52,-0.1%,36.19,58.81,6.42%,-10.44%,0.702344,49.5%
QQQ,563.29,2025-10-17,57,605.00,Call,2.25,465.00,Put,1.55,562.59,0.7,0.1%,42.41,97.59,7.53%,-17.33%,0.810453,50.7%
QQQ,563.29,2025-10-17,57,605.00,Call,2.25,470.00,Put,1.71,562.75,0.54,0.1%,42.25,92.75,7.50%,-16.47%,0.805026,50.5%
QQQ,563.29,2025-10-17,57,605.00,Call,2.25,475.00,Put,1.89,562.93,0.36,0.1%,42.07,87.93,7.47%,-15.61%,0.798795,50.3%
QQQ,563.29,2025-10-17,57,605.00,Call,2.25,480.00,Put,2.09,563.13,0.16,0.0%,41.87,83.13,7.43%,-14.76%,0.791835,50.2%
QQQ,563.29,2025-10-17,57,605.00,Call,2.25,485.00,Put,2.32,563.36,-0.07,0.0%,41.64,78.36,7.39%,-13.91%,0.783878,49.9%
QQQ,563.29,2025-10-17,57,605.00,Call,2.25,490.00,Put,2.58,563.62,-0.33,-0.1%,41.38,73.62,7.35%,-13.07%,0.774922,49.7%
QQQ,563.29,2025-10-17,57,605.00,Call,2.25,495.00,Put,2.88,563.92,-0.63,-0.1%,41.08,68.92,7.29%,-12.24%,0.764799,49.4%
QQQ,563.29,2025-10-17,57,605.00,Call,2.25,500.00,Put,3.21,564.25,-0.96,-0.2%,40.75,64.25,7.23%,-11.41%,0.753364,49.1%
QQQ,563.29,2025-10-17,57,605.00,Call,2.25,505.00,Put,3.6,564.64,-1.35,-0.2%,40.36,59.64,7.17%,-10.59%,0.740349,48.7%
QQQ,563.29,2025-10-17,57,610.00,Call,1.62,470.00,Put,1.71,563.38,-0.09,0.0%,46.62,93.38,8.28%,-16.58%,0.836956,49.9%
QQQ,563.29,2025-10-17,57,610.00,Call,1.62,475.00,Put,1.89,563.56,-0.27,0.0%,46.44,88.56,8.24%,-15.72%,0.830725,49.7%
QQQ,563.29,2025-10-17,57,610.00,Call,1.62,480.00,Put,2.09,563.76,-0.47,-0.1%,46.24,83.76,8.21%,-14.87%,0.823765,49.5%
QQQ,563.29,2025-10-17,57,610.00,Call,1.62,485.00,Put,2.32,563.99,-0.7,-0.1%,46.01,78.99,8.17%,-14.02%,0.815808,49.3%
QQQ,563.29,2025-10-17,57,610.00,Call,1.62,490.00,Put,2.58,564.25,-0.96,-0.2%,45.75,74.25,8.12%,-13.18%,0.806853,49.1%
QQQ,563.29,2025-10-17,57,610.00,Call,1.62,495.00,Put,2.88,564.55,-1.26,-0.2%,45.45,69.55,8.07%,-12.35%,0.79673,48.8%
QQQ,563.29,2025-10-17,57,610.00,Call,1.62,500.00,Put,3.21,564.88,-1.59,-0.3%,45.12,64.88,8.01%,-11.52%,0.785295,48.5%
QQQ,563.29,2025-10-17,57,610.00,Call,1.62,505.00,Put,3.6,565.27,-1.98,-0.4%,44.73,60.27,7.94%,-10.70%,0.77228,48.1%
QQQ,563.29,2025-10-17,57,620.00,Call,0.84,480.00,Put,2.09,564.54,-1.25,-0.2%,55.46,84.54,9.85%,-15.01%,0.869443,48.8%
QQQ,563.29,2025-10-17,57,620.00,Call,0.84,485.00,Put,2.32,564.77,-1.48,-0.3%,55.23,79.77,9.80%,-14.16%,0.861485,48.6%
QQQ,563.29,2025-10-17,57,620.00,Call,0.84,490.00,Put,2.58,565.03,-1.74,-0.3%,54.97,75.03,9.76%,-13.32%,0.85253,48.3%
QQQ,563.29,2025-10-17,57,620.00,Call,0.84,495.00,Put,2.88,565.33,-2.04,-0.4%,54.67,70.33,9.71%,-12.49%,0.842407,48.0%
QQQ,563.29,2025-10-17,57,620.00,Call,0.84,500.00,Put,3.21,565.66,-2.37,-0.4%,54.34,65.66,9.65%,-11.66%,0.830972,47.7%
QQQ,563.29,2025-10-17,57,620.00,Call,0.84,505.00,Put,3.6,566.05,-2.76,-0.5%,53.95,61.05,9.58%,-10.84%,0.817957,47.3%
QQQ,563.29,2025-10-17,57,625.00,Call,0.61,485.00,Put,2.32,565,-1.71,-0.3%,60,80,10.65%,-14.20%,0.876545,48.3%
QQQ,563.29,2025-10-17,57,625.00,Call,0.61,490.00,Put,2.58,565.26,-1.97,-0.3%,59.74,75.26,10.61%,-13.36%,0.86759,48.1%
QQQ,563.29,2025-10-17,57,625.00,Call,0.61,495.00,Put,2.88,565.56,-2.27,-0.4%,59.44,70.56,10.55%,-12.53%,0.857467,47.8%
QQQ,563.29,2025-10-17,57,625.00,Call,0.61,500.00,Put,3.21,565.89,-2.6,-0.5%,59.11,65.89,10.49%,-11.70%,0.846032,47.5%
QQQ,563.29,2025-10-17,57,625.00,Call,0.61,505.00,Put,3.6,566.28,-2.99,-0.5%,58.72,61.28,10.42%,-10.88%,0.833017,47.1%
QQQ,563.29,2025-11-21,92,595.00,Call,8.95,490.00,Put,4.95,559.29,4,0.7%,35.71,69.29,6.34%,-12.30%,0.565678,52.9%
QQQ,563.29,2025-11-21,92,595.00,Call,8.95,500.00,Put,5.9,560.24,3.05,0.5%,34.76,60.24,6.17%,-10.69%,0.541748,52.2%
QQQ,563.29,2025-11-21,92,595.00,Call,8.95,505.00,Put,6.45,560.79,2.5,0.4%,34.21,55.79,6.07%,-9.90%,0.527955,51.8%
QQQ,563.29,2025-11-21,92,600.00,Call,7.31,490.00,Put,4.95,560.93,2.36,0.4%,39.07,70.93,6.94%,-12.59%,0.605208,51.7%
QQQ,563.29,2025-11-21,92,600.00,Call,7.31,500.00,Put,5.9,561.88,1.41,0.3%,38.12,61.88,6.77%,-10.99%,0.581278,51.0%
QQQ,563.29,2025-11-21,92,600.00,Call,7.31,505.00,Put,6.45,562.43,0.86,0.2%,37.57,57.43,6.67%,-10.20%,0.567485,50.6%
QQQ,563.29,2025-11-21,92,605.00,Call,5.91,490.00,Put,4.95,562.33,0.96,0.2%,42.67,72.33,7.58%,-12.84%,0.642653,50.7%
QQQ,563.29,2025-11-21,92,605.00,Call,5.91,500.00,Put,5.9,563.28,0.01,0.0%,41.72,63.28,7.41%,-11.23%,0.618722,50.0%
QQQ,563.29,2025-11-21,92,605.00,Call,5.91,505.00,Put,6.45,563.83,-0.54,-0.1%,41.17,58.83,7.31%,-10.44%,0.60493,49.6%
QQQ,563.29,2025-11-21,92,610.00,Call,4.74,490.00,Put,4.95,563.5,-0.21,0.0%,46.5,73.5,8.26%,-13.05%,0.677332,49.8%
QQQ,563.29,2025-11-21,92,610.00,Call,4.74,500.00,Put,5.9,564.45,-1.16,-0.2%,45.55,64.45,8.09%,-11.44%,0.653402,49.2%
QQQ,563.29,2025-11-21,92,610.00,Call,4.74,505.00,Put,6.45,565,-1.71,-0.3%,45,60,7.99%,-10.65%,0.639609,48.8%
QQQ,563.29,2025-12-19,120,609.78,Call,7.64,470.00,Put,4.92,560.57,2.72,0.5%,49.21,90.57,8.74%,-16.08%,0.641547,51.7%
QQQ,563.29,2025-12-19,120,609.78,Call,7.64,474.78,Put,5.29,560.94,2.35,0.4%,48.84,86.16,8.67%,-15.30%,0.633473,51.5%
QQQ,563.29,2025-12-19,120,609.78,Call,7.64,480.00,Put,5.73,561.38,1.91,0.3%,48.4,81.38,8.59%,-14.45%,0.623908,51.2%
QQQ,563.29,2025-12-19,120,609.78,Call,7.64,499.78,Put,7.78,563.43,-0.14,0.0%,46.35,63.65,8.23%,-11.30%,0.579526,49.9%
